BF	input	tot_perm	unique_perm	frac_unique_perm
1	1	1	1	1.0
8	3	6	3	0.5
2	1	1	1	1.0
7936	4	24	12	0.5
1	1	1	1	1.0
1	2	2	1	0.5
16	3	6	3	0.5
213	3	6	3	0.5
8	2	2	1	0.5
7	2	2	1	0.5
16	3	6	3	0.5
4	2	2	2	1.0
128	4	24	4	0.16666666666666666
8	2	2	1	0.5
64	3	6	3	0.5
32767	4	24	1	0.041666666666666664
8352	4	24	6	0.25
32767	4	24	1	0.041666666666666664
32767	4	24	1	0.041666666666666664
7	2	2	1	0.5
32767	4	24	1	0.041666666666666664
1086374080	5	120	10	0.08333333333333333
128	4	24	4	0.16666666666666666
32767	4	24	1	0.041666666666666664
7	2	2	1	0.5
32767	4	24	1	0.041666666666666664
1	6	720	1	0.001388888888888889
2	1	1	1	1.0
14	2	2	1	0.5
2	1	1	1	1.0
1	8	40320	1	2.48015873015873e-05
18446742901183475438	6	720	20	0.027777777777777776
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
14	3	6	3	0.5
2	2	2	2	1.0
7	2	2	1	0.5
2184	4	24	6	0.25
536911872	5	120	10	0.08333333333333333
1	1	1	1	1.0
2147483647	5	120	1	0.008333333333333333
127	3	6	1	0.16666666666666666
2	2	2	2	1.0
3074457345618258602	6	720	6	0.008333333333333333
112	3	6	3	0.5
2	2	2	2	1.0
32767	4	24	1	0.041666666666666664
1879109632	5	120	10	0.08333333333333333
76	3	6	3	0.5
4665941148055945408	6	720	15	0.020833333333333332
1879048192	5	120	10	0.08333333333333333
7	2	2	1	0.5
112	3	6	3	0.5
7	2	2	1	0.5
1	1	1	1	1.0
10922	4	24	4	0.16666666666666666
4	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	1	1	1	1.0
4	2	2	2	1.0
76	3	6	3	0.5
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	1	1	1	1.0
2	1	1	1	1.0
223	3	6	3	0.5
4	2	2	2	1.0
112	3	6	3	0.5
16384	4	24	4	0.16666666666666666
2	1	1	1	1.0
8	2	2	1	0.5
2	2	2	2	1.0
1	1	1	1	1.0
241	3	6	3	0.5
220	3	6	6	1.0
32767	4	24	1	0.041666666666666664
235843327	5	120	120	1.0
2686492704	5	120	60	0.5
2964365472	5	120	120	1.0
10	2	2	2	1.0
119	3	6	3	0.5
49152	4	24	4	0.16666666666666666
128	3	6	1	0.16666666666666666
112	3	6	3	0.5
4	2	2	2	1.0
7	2	2	1	0.5
12032	4	24	24	1.0
8	2	2	1	0.5
8	2	2	1	0.5
32	3	6	3	0.5
8	2	2	1	0.5
8	2	2	1	0.5
8	2	2	1	0.5
15104	4	24	24	1.0
8	2	2	1	0.5
4	2	2	2	1.0
4	2	2	2	1.0
4	2	2	2	1.0
4	2	2	2	1.0
8	2	2	1	0.5
84	3	6	3	0.5
1	1	1	1	1.0
7	2	2	1	0.5
21	3	6	3	0.5
1	1	1	1	1.0
1	2	2	1	0.5
4	2	2	2	1.0
2	2	2	2	1.0
1	1	1	1	1.0
64	5	120	10	0.08333333333333333
7717705310436796486164116918171584112185388310028889028038624141563227345169	8	40320	5040	0.125
1	1	1	1	1.0
30197	4	24	12	0.5
5	2	2	2	1.0
7	2	2	1	0.5
1	1	1	1	1.0
4	2	2	2	1.0
1	2	2	1	0.5
1	1	1	1	1.0
84	3	6	3	0.5
32607	4	24	12	0.5
1233723648051707904	6	720	45	0.0625
4	2	2	2	1.0
1	1	1	1	1.0
16	3	6	3	0.5
1	1	1	1	1.0
84	3	6	3	0.5
1287	4	24	12	0.5
4	3	6	3	0.5
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
32767	4	24	1	0.041666666666666664
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
16	3	6	3	0.5
1	1	1	1	1.0
2	2	2	2	1.0
213	3	6	3	0.5
1	3	6	1	0.16666666666666666
2	2	2	2	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
7	2	2	1	0.5
256	4	24	4	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
32	4	24	6	0.25
2	1	1	1	1.0
1	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
8	3	6	3	0.5
1	2	2	1	0.5
1	2	2	1	0.5
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
7	2	2	1	0.5
2	2	2	2	1.0
7	2	2	1	0.5
87	3	6	3	0.5
2	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	2	2	1	0.5
7	2	2	1	0.5
1	2	2	1	0.5
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
4194304	5	120	10	0.08333333333333333
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	2	2	1	0.5
7	2	2	1	0.5
1	2	2	1	0.5
2	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
1	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
2	2	2	2	1.0
1	2	2	1	0.5
1	4	24	1	0.041666666666666664
2	1	1	1	1.0
32	6	720	15	0.020833333333333332
7	2	2	1	0.5
2	1	1	1	1.0
2	1	1	1	1.0
7	2	2	1	0.5
7	2	2	1	0.5
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
32767	4	24	1	0.041666666666666664
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
1048576	5	120	10	0.08333333333333333
7	2	2	1	0.5
1	3	6	1	0.16666666666666666
1	2	2	1	0.5
8	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
1	2	2	1	0.5
55	3	6	3	0.5
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
55	3	6	3	0.5
1	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	4	24	1	0.041666666666666664
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
7	2	2	1	0.5
256	4	24	4	0.16666666666666666
1	2	2	1	0.5
1	1	1	1	1.0
14335	4	24	6	0.25
32	5	120	10	0.08333333333333333
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
5533798042131496960	6	720	20	0.027777777777777776
32597	4	24	12	0.5
158178131498404988884704354616177852416	7	5040	210	0.041666666666666664
4	2	2	2	1.0
53248	4	24	12	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
22272	4	24	12	0.5
704643072	5	120	10	0.08333333333333333
71860777161588736	6	720	360	0.5
8070450532247928832	6	720	15	0.020833333333333332
7	2	2	1	0.5
281474976710656	6	720	15	0.020833333333333332
22272	4	24	12	0.5
4	2	2	2	1.0
4557431162615627776	6	720	60	0.08333333333333333
715784192	5	120	10	0.08333333333333333
112	3	6	3	0.5
4	2	2	2	1.0
4	2	2	2	1.0
1349517312	5	120	30	0.25
3675731796164608	6	720	720	1.0
16	3	6	3	0.5
20040064622071666324044513280	7	5040	140	0.027777777777777776
64	3	6	3	0.5
4	2	2	2	1.0
112	3	6	3	0.5
64	3	6	3	0.5
2147418112	5	120	5	0.041666666666666664
16	3	6	3	0.5
64	3	6	3	0.5
721354752	5	120	60	0.5
112	3	6	3	0.5
16	3	6	3	0.5
4	2	2	2	1.0
5376	4	24	12	0.5
4	2	2	2	1.0
16384	4	24	4	0.16666666666666666
64	3	6	3	0.5
112	3	6	3	0.5
4	2	2	2	1.0
28672	4	24	6	0.25
5764730668336545792	6	720	60	0.08333333333333333
1792	4	24	12	0.5
112	3	6	3	0.5
112	3	6	3	0.5
56713727767337635567719542842932068352	7	5040	35	0.006944444444444444
32512	4	24	4	0.16666666666666666
4	2	2	2	1.0
10752	4	24	6	0.25
32	3	6	3	0.5
4	2	2	2	1.0
1024	4	24	6	0.25
512	4	24	6	0.25
4	2	2	2	1.0
14080	4	24	12	0.5
16	3	6	3	0.5
4	2	2	2	1.0
16384	4	24	4	0.16666666666666666
4	2	2	2	1.0
4	2	2	2	1.0
64	3	6	3	0.5
127	3	6	1	0.16666666666666666
1288490188	5	120	5	0.041666666666666664
9223372036854775807	6	720	1	0.001388888888888889
2	2	2	2	1.0
536911872	5	120	10	0.08333333333333333
715827882	5	120	5	0.041666666666666664
4	2	2	2	1.0
8070450536274460672	6	720	20	0.027777777777777776
16576	4	24	6	0.25
134252544	5	120	10	0.08333333333333333
4	2	2	2	1.0
1	1	1	1	1.0
16384	4	24	4	0.16666666666666666
7	2	2	1	0.5
7	2	2	1	0.5
7	2	2	1	0.5
112	3	6	3	0.5
10922	4	24	4	0.16666666666666666
10922	4	24	4	0.16666666666666666
1	1	1	1	1.0
4	2	2	2	1.0
32767	4	24	1	0.041666666666666664
8070450536274460672	6	720	20	0.027777777777777776
143165576	5	120	10	0.08333333333333333
2184	4	24	6	0.25
2147483647	5	120	1	0.008333333333333333
2147483647	5	120	1	0.008333333333333333
32767	4	24	1	0.041666666666666664
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
32767	4	24	1	0.041666666666666664
32767	4	24	1	0.041666666666666664
4	2	2	2	1.0
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2147483647	5	120	1	0.008333333333333333
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
32767	4	24	1	0.041666666666666664
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
2	1	1	1	1.0
2	1	1	1	1.0
14	2	2	1	0.5
28912	4	24	4	0.16666666666666666
538976416	6	720	180	0.25
329643350694937593913904043882583097344	7	5040	140	0.027777777777777776
4	2	2	2	1.0
76	3	6	3	0.5
2048	4	24	4	0.16666666666666666
1086374080	5	120	10	0.08333333333333333
11010048	6	720	90	0.125
573988187802122	6	720	180	0.25
16	3	6	3	0.5
3544668469065756976	6	720	120	0.16666666666666666
1911	4	24	3	0.125
136	4	24	12	0.5
67947724	5	120	60	0.5
17484	4	24	12	0.5
1	2	2	1	0.5
1092	4	24	12	0.5
16	3	6	3	0.5
4181	4	24	24	1.0
4	2	2	2	1.0
19660	4	24	4	0.16666666666666666
273698896	5	120	20	0.16666666666666666
1	1	1	1	1.0
256	5	120	5	0.041666666666666664
71582788	5	120	20	0.16666666666666666
19660	4	24	4	0.16666666666666666
4919132337239510220	6	720	90	0.125
667220327295957771496812955748565120	8	40320	280	0.006944444444444444
36170086419038336	7	5040	140	0.027777777777777776
9223372036854775808	6	720	1	0.001388888888888889
1	1	1	1	1.0
57896044618658097711785492504343953926634992332820282019728792003956564819968	8	40320	1	2.48015873015873e-05
7	2	2	1	0.5
715827882	5	120	5	0.041666666666666664
112	3	6	3	0.5
13479973336713870765757598744263302691024331148677648317163446992896	8	40320	56	0.001388888888888889
128	4	24	4	0.16666666666666666
14190206168574736352084215388962260487284869143937695081993998633013346304	8	40320	168	0.004166666666666667
4611686018427387904	6	720	6	0.008333333333333333
3859736307910539844313815299262923213020963593790383028199054440982536292488	8	40320	420	0.010416666666666666
883437012568216948375455748902784068461661590490887037761940825573457920	8	40320	70	0.001736111111111111
2147483648	6	720	6	0.008333333333333333
32768	5	120	5	0.041666666666666664
8	3	6	3	0.5
140739635871744	6	720	15	0.020833333333333332
36170086419038336	6	720	20	0.027777777777777776
42	3	6	3	0.5
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
3074316605982419626	6	720	60	0.08333333333333333
578721934616332424	6	720	90	0.125
3074457345618258602	6	720	6	0.008333333333333333
227043312230031755732492127468015505594647028756157968704818792172378685568	8	40320	56	0.001388888888888889
2	2	2	2	1.0
87	3	6	3	0.5
33554432	8	40320	56	0.001388888888888889
1	1	1	1	1.0
922121403912683520	6	720	90	0.125
40992	4	24	12	0.5
1	1	1	1	1.0
50431	4	24	24	1.0
4279631701	5	120	20	0.16666666666666666
3489681408	5	120	30	0.25
8	2	2	1	0.5
3489677312	5	120	30	0.25
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
4	2	2	2	1.0
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
4	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
2	3	6	3	0.5
2	1	1	1	1.0
2	2	2	2	1.0
42	3	6	3	0.5
7	2	2	1	0.5
2	2	2	2	1.0
1	1	1	1	1.0
112	3	6	3	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
2	2	2	2	1.0
1894838512	5	120	5	0.041666666666666664
1	1	1	1	1.0
4	2	2	2	1.0
524424	5	120	30	0.25
1	1	1	1	1.0
12604885	5	120	30	0.25
7	3	6	3	0.5
7	2	2	1	0.5
7	2	2	1	0.5
614891469123651720	6	720	15	0.020833333333333332
4294971665	6	720	60	0.08333333333333333
7	2	2	1	0.5
1	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
1	3	6	1	0.16666666666666666
1	1	1	1	1.0
1092	4	24	12	0.5
7	2	2	1	0.5
1	1	1	1	1.0
2619	4	24	12	0.5
2	2	2	2	1.0
7	3	6	3	0.5
7	3	6	3	0.5
1932787711	5	120	30	0.25
7	2	2	1	0.5
1	1	1	1	1.0
8	3	6	3	0.5
1	1	1	1	1.0
4	3	6	3	0.5
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	3	6	1	0.16666666666666666
2013233151	5	120	10	0.08333333333333333
4	2	2	2	1.0
21	3	6	3	0.5
1	1	1	1	1.0
53825229008368646880413144062413591786695904350844421055384767065941738520575	8	40320	5040	0.125
4	3	6	3	0.5
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	3	6	1	0.16666666666666666
1	1	1	1	1.0
7	2	2	1	0.5
7	3	6	3	0.5
1	1	1	1	1.0
1	1	1	1	1.0
14335	4	24	6	0.25
7	2	2	1	0.5
1	1	1	1	1.0
7	3	6	3	0.5
7	2	2	1	0.5
1	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1879048192	5	120	10	0.08333333333333333
2819	4	24	12	0.5
264308314601620227	6	720	60	0.08333333333333333
34375776492328245521374701619840483877621171394230651624545534747156487864320	8	40320	56	0.001388888888888889
11339976339040063550548717369007538176	7	5040	35	0.006944444444444444
1275120640	5	120	10	0.08333333333333333
614741351426686976	6	720	20	0.027777777777777776
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
176059299397632	6	720	120	0.16666666666666666
1	1	1	1	1.0
19	3	6	3	0.5
1	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
7	2	2	1	0.5
42	3	6	3	0.5
2	2	2	2	1.0
8388608	5	120	5	0.041666666666666664
85	3	6	3	0.5
1036	4	24	12	0.5
512	4	24	6	0.25
1	1	1	1	1.0
8192	4	24	4	0.16666666666666666
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1894838512	5	120	5	0.041666666666666664
32767	4	24	1	0.041666666666666664
4	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
42	3	6	3	0.5
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
2	2	2	2	1.0
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
42	3	6	3	0.5
7	2	2	1	0.5
1	1	1	1	1.0
4	2	2	2	1.0
1	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
174	3	6	6	1.0
4	2	2	2	1.0
2	2	2	2	1.0
2	1	1	1	1.0
2	1	1	1	1.0
168	3	6	3	0.5
150085627316352	6	720	90	0.125
1	1	1	1	1.0
32767	4	24	1	0.041666666666666664
1	3	6	1	0.16666666666666666
31	3	6	3	0.5
43694	4	24	12	0.5
10786	4	24	24	1.0
16	3	6	3	0.5
256	4	24	4	0.16666666666666666
1048576	5	120	10	0.08333333333333333
2	1	1	1	1.0
19660	4	24	4	0.16666666666666666
76	3	6	3	0.5
112173586421690117652376143369500400616712297704542022532758497542419171508224	8	40320	280	0.006944444444444444
4194304	5	120	10	0.08333333333333333
8352	4	24	6	0.25
4	2	2	2	1.0
1879048192	5	120	10	0.08333333333333333
1334440579713534223399502545178005248	7	5040	630	0.125
770	4	24	6	0.25
4974729747714199053915914240	7	5040	1260	0.25
1	2	2	1	0.5
5263440	5	120	60	0.5
12	3	6	6	1.0
42	3	6	3	0.5
1092	4	24	12	0.5
1157442902578692096	6	720	180	0.25
67791662187920495757537385041025302528	7	5040	1260	0.25
5476377148023373824	6	720	120	0.16666666666666666
1116628820770623487	6	720	30	0.041666666666666664
30197	4	24	12	0.5
288230376151711744	6	720	15	0.020833333333333332
2048	4	24	4	0.16666666666666666
4194496	5	120	30	0.25
85074485952878516986565049730188967936	7	5040	21	0.004166666666666667
55213970774327845060658612077684707382919441985996756429971012724981760	8	40320	168	0.004166666666666667
21	3	6	3	0.5
31	3	6	3	0.5
1	2	2	1	0.5
1	1	1	1	1.0
3	3	6	3	0.5
1	1	1	1	1.0
2	1	1	1	1.0
1	2	2	1	0.5
4	2	2	2	1.0
1	2	2	1	0.5
1	1	1	1	1.0
2184	4	24	6	0.25
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	2	2	1	0.5
8	4	24	6	0.25
7	2	2	1	0.5
2	1	1	1	1.0
42	3	6	3	0.5
20203181445841325826244859658494	7	5040	21	0.004166666666666667
2	1	1	1	1.0
2	1	1	1	1.0
1	2	2	1	0.5
4294967296	6	720	6	0.008333333333333333
2	2	2	2	1.0
1	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
2	2	2	2	1.0
4	2	2	2	1.0
128	3	6	1	0.16666666666666666
1	1	1	1	1.0
2	1	1	1	1.0
1730739210446479754268664540449996	7	5040	1260	0.25
2	1	1	1	1.0
1146093567	5	120	60	0.5
4	2	2	2	1.0
2	2	2	2	1.0
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
2	1	1	1	1.0
76	3	6	3	0.5
50	3	6	3	0.5
45296	4	24	12	0.5
1	1	1	1	1.0
2	2	2	2	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
10922	4	24	4	0.16666666666666666
14335	4	24	6	0.25
4294971665	6	720	60	0.08333333333333333
1	2	2	1	0.5
7	2	2	1	0.5
2619	4	24	12	0.5
1	1	1	1	1.0
7	3	6	3	0.5
7	3	6	3	0.5
7	3	6	3	0.5
1882255600	5	120	60	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1342205952	5	120	30	0.25
1	1	1	1	1.0
8	3	6	3	0.5
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
7	3	6	3	0.5
4	3	6	3	0.5
4	3	6	3	0.5
1	2	2	1	0.5
1	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
4	3	6	3	0.5
1	1	1	1	1.0
12599488	5	120	30	0.25
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
8	3	6	3	0.5
13050	4	24	6	0.25
1	1	1	1	1.0
1	1	1	1	1.0
4	2	2	2	1.0
21	3	6	3	0.5
1	1	1	1	1.0
1358917887	5	120	60	0.5
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
1	2	2	1	0.5
24447	4	24	6	0.25
1	1	1	1	1.0
7	2	2	1	0.5
7	2	2	1	0.5
7	3	6	3	0.5
4	3	6	3	0.5
4	3	6	3	0.5
1	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	2	2	1	0.5
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
2	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	4	24	1	0.041666666666666664
51	3	6	3	0.5
1	1	1	1	1.0
1	1	1	1	1.0
4	2	2	2	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	2	2	1	0.5
1	2	2	1	0.5
1	2	2	1	0.5
2	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
2	1	1	1	1.0
2	2	2	2	1.0
2	1	1	1	1.0
16	3	6	3	0.5
14	2	2	1	0.5
19	3	6	3	0.5
65274	5	120	30	0.25
2	1	1	1	1.0
1	1	1	1	1.0
1	2	2	1	0.5
2	1	1	1	1.0
1	2	2	1	0.5
1	2	2	1	0.5
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
14	2	2	1	0.5
1	1	1	1	1.0
1	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
11	2	2	2	1.0
2	2	2	2	1.0
2	1	1	1	1.0
224	3	6	3	0.5
8	2	2	1	0.5
858927906	5	120	30	0.25
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
236	3	6	3	0.5
1	1	1	1	1.0
1	1	1	1	1.0
2	2	2	2	1.0
64	3	6	3	0.5
1	3	6	1	0.16666666666666666
2	1	1	1	1.0
2	2	2	2	1.0
1	1	1	1	1.0
8	2	2	1	0.5
7	2	2	1	0.5
2	1	1	1	1.0
2	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	2	2	1	0.5
1	1	1	1	1.0
4	2	2	2	1.0
